set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
76457,LEGO® Harry Potter 76457 Dorf Hogsmeade Sammleredition,,,,321.08,56
11371,LEGO® Icons 11371 Einkaufsmeile NEU OVP EXKLUSIV!,,,,229.90,56
40757,LEGO® Icons 40757 Kiosk an der Ecke EXKLUSIV! NEU OVP!,,,,33.25,56
40825,LEGO® 40825 Halloweenkranz EXKLUSIV!,,,,42.74,56
40380,BrickHeadz 40380 Osterschaf,,,,15.00,56
40761,LEGO® Icons 40761 Herr der Ringe: Sméagol & Déagol EXKLUSIV!,,,,91.99,55
21061,Architecture 21061 Notre-Dame de Paris,,,,191.99,55
10374,Icons 10374 Rosa Rosenstrauß,,,,59.99,55
40867,LEGO® 40867 LOVE 4 Buchstaben EXKLUSIV!,,,,22.99,53
10323,LEGO® Icons 10323 PAC-MAN Spielautomat NEU OVP EXKLUSIV!,,,,257.59,53
40352,BrickHeadz 40352 Erntedankfest-Vogelscheuche,,,,17.00,52
21367,LEGO® Ideas 21367 Die Mondrakete von Tim und Struppi NEU OVP,,,,131.59,50
40588,Promotional 40588 Blumentopf,,,,47.99,50
40793,LEGO® BrickHeadz 40793 Tom & Jerry Figuren,,,,19.19,49
43008,LEGO® 43008 Nike Dunk x LEGO Set EXKLUSIV!,,,,98.99,48
76449,LEGO® Harry Potter 76449 Beißendes Monsterbuch der Monster,,,,48.88,48
76251,LEGO® Super Heroes 76251 Star-Lords Helm NEU EXKLUSIV!,,,,86.39,45
60494,LEGO® City 60494 Kipplaster und Schaufellader,,,,83.72,42
75397,LEGO® Star Wars 75397 Jabbas Segelbarke EXKLUSIV!,,,,413.99,41
75429,LEGO® Star Wars 75429 AT-AT Pilot Helm EXKLUSIV!,,,,81.88,41
10314,Icons 10314 Trockenblumengesteck,,,,59.99,41
10363,Icons 10363 Leonardo da Vincis Fluggerät,,,,55.00,39
76919,Speed Champions 76919 McLaren Formel-1 2023,,,,26.99,37
40926,LEGO® Gaming 40926 SEGA Mega Drive Spielkonsole EXKLUSIV!,,,,41.84,36
42129,LEGO® Technic 42129 4x4 Mercedes-Benz Zetros Offroad-Truck,,,,232.49,35
21365,LEGO® Ideas 21365 Turteltauben EXKLUSIV,,,,49.50,34
71434,Super Mario 71434 Limonadendschungel-Design-Set,,,,54.99,34
11374,LEGO® Icons 11374 Flipperautomat NEU OVP EXKLUSIV!,,,,202.10,32
80113,LEGO® 80113 Familientreffen NEU OVP EXKLUSIV,,,,127.40,32
11389,LEGO® Icons 11389 Der Astronaut EXKLUSIV!,,,,105.59,31
21366,Ideas 21366 Schwimmende Otter,,,,89.00,31
77255,Speed Champions 77255 Lightning McQueen,,,,27.99,31
75573,LEGO® Avatar 75573 Schwebende Berge: Site 26 und RDA Samson NEU OVP!,,,,79.99,30
40634,LEGO® 40634 Ikonen NEU OVP EXKLUSIV!,,,,149.99,27
75428,LEGO® Star Wars 75428 Kampfdroide mit STAP EXKLUSIV!,,,,123.49,26
42136,LEGO® Technic 42136 John Deere 9620R 4WD Tractor NEU OVP,,,,42.24,25
76965,LEGO® Jurassic World 76965 Dino-Missionen: Stegosaurus,,,,59.99,24
75379,Star Wars 75379 R2-D2,,,,88.88,22
75417,LEGO® Star Wars 75417 AT-ST Kampfläufer NEU OVP,,,,148.80,21
75192,LEGO® Star Wars 75192 Millennium Falcon UCS NEU OVP!,,,,799.00,20
40810,LEGO® Promotional 40810 LEGOLAND Park Portal EXKLUSIV!,,,,33.24,19
77253,Speed Champions 77253 Bugatti Vision GT,,,,27.99,17
11505,LEGO® Botanicals 11505 Waldpilze NEU OVP!,,,,66.24,15
43010,LEGO® 43010 Nike Slam Dunk EXKLUSIV,,,,62.07,15
31393,LEGO® Creator 31393 Waldtiere: Wolf EXKLUSIV!,,,,52.80,11
42141,LEGO® Technic 42141 McLaren Formel 1 Rennwagen,,,,169.00,11
75636,One Piece 75636 Hütte im Windmühlendorf,,,,29.99,11
75640,One Piece 75640 Baratié Schwimmendes Restaurant,,,,259.19,9
42215,Technic 42215 Volvo EC500 Hybrid Bagger,,,,319.68,9
80051,Monkie Kid 80051 Mini-Mech,,,,44.99,8
75338,Star Wars 75338 Überfall auf Ferrix,,,,89.99,6
11512,LEGO® Botanicals 11512 Hängende Efeutute EXKLUSIV!,,,,56.39,0
21369,LEGO® Ideas 21369 The X-Files EXKLUSIV!,,,,191.99,0
75647,LEGO® One Piece 75647 Gum-Gum-Frucht NEU OVP EXKLUSIV!,,,,62.39,0
75458,LEGO® Star Wars 75458 Helm AT-RT-Pilot des Restimperiums,,,,64.99,0
77984,LEGO® Jurassic World 77984 Jurassic Park Jeep Wrangler,,,,192.00,0
21591,LEGO® Minecraft 21591 Duell mit dem Krummen Wärter,,,,47.99,0
75442,LEGO® Star Wars 75442 UCS The Mandalorian N-1 Starfighter,,,,224.66,0
75459,LEGO® Star Wars 75459 Imperiales Shuttle der Lambda-Klasse,,,,139.49,0
10366,LEGO® Icons 10366 Tropisches Aquarium EXKLUSIV!,,,,403.88,0
75461,LEGO® Star Wars 75461 Große Darth-Vader-Minifigur EXKLUSIV!,,,,87.40,0
11378,LEGO® Icons 11378 Douglas DC-3 PAN AM Passagierflugzeug,,,,216.99,0
