set_num,name,ebay_list_eur,ebay_coupon_eur,ebay_best_eur,ebay_sold,ebay_url
21358,LEGO® Ideas 21358 Spielzeugautomat mit Minifiguren EXKLUSIV!,159.0,,159.0,207,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21358
30628,Harry Potter 30628 Das Monsterbuch der Monster,79.0,,79.0,203,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=30628
76959,LEGO® Jurassic World 76959 Triceratops-Forschung NEU OVP,55.0,52.25,52.25,199,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76959
76333,LEGO® Super Heroes 76333 Batman & Robin: Batmobil EXKLUSIV!,29.99,27.59,27.59,198,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76333
10345,LEGO® Botanicals 10345 Blumengesteck NEU OVP EXKLUSIV!,105.0,100.0,100.0,197,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10345
21342,LEGO® Ideas 21342 Die Insektensammlung NEU OVP EXKLUSIV!,79.99,76.79,76.79,184,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21342
10332,LEGO® Icons 10332 Mittelalterlicher Stadtplatz NEU OVP EXKLUSIV!,229.99,218.49,218.49,183,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10332
71799,Ninjago 71799 Die Märkte von NINJAGO City,499.99,479.99,479.99,182,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71799
77073,Fortnite 77073 Schlachtenbus,99.99,,99.99,178,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77073
21350,LEGO® Ideas 21350 Der weiße Hai NEU OVP EXKLUSIV!,159.99,147.19,147.19,177,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21350
43249,Disney 43249 Stitch,55.0,,55.0,177,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=43249
10290,Creator Expert 10290 Pickup,150.0,,150.0,176,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10290
21376,LEGO® Ideas 21376 Orangefarbene Katze EXKLUSIV!,95.0,91.2,91.2,173,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21376
21341,LEGO® Ideas 21341 Disney Hocus Pocus: Hexenhaus Sanderson,249.99,227.49,227.49,173,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21341
76974,LEGO® Jurassic World 76974 Mosasaurier: Die Bootmission NEU OVP,55.0,,55.0,164,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76974
77256,LEGO® Speed Champions 77256 Zeitmaschine Zurück in die Zukunft,25.0,23.25,23.25,158,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77256
40575,LEGO® 40575 Jahr des Kaninchens NEU OVP EXKLUSIV!,14.99,,14.99,152,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40575
40355,LEGO® 40355 Jahr der Ratte,15.0,14.55,14.55,150,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40355
42184,Technic 42184 Koenigsegg Jesko Absolut,59.99,57.59,57.59,144,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=42184
71051,LEGO® 71051 Minifiguren Serie 28 - 12er Set,39.99,38.39,38.39,143,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71051
40659,LEGO® Disney 40659 Steamboat Willie Mini-Modell EXKLUSIV!,40.0,38.4,38.4,141,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40659
40650,LEGO® Creator 40650 Klassischer Land Rover Defender NEU OVP,19.99,19.19,19.19,138,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40650
71841,Ninjago 71841 Drachensturmdorf,39.0,,39.0,138,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71841
10340,LEGO® Icons 10340 Weihnachtskranz NEU OVP!,95.0,87.4,87.4,136,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10340
75409,LEGO® Star Wars 75409 Jango Fetts Sternenschiff Firespray-Klasse,279.0,256.68,256.68,126,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75409
10352,LEGO® Icons 10352 The Simpsons™: Krusty Burger EXKLUSIV!,184.99,168.34,168.34,125,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10352
75435,LEGO® Star Wars 75435 MTT der Separatisten Schlacht von Felucia,122.0,114.68,114.68,125,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75435
21355,LEGO® Ideas 21355 Die Entstehung von MINT NEU OVP EXKLUSIV!,74.99,71.99,71.99,124,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21355
40801,"BrickHeadz 40801 Mike, Dustin, Lucas und Will",44.99,,44.99,124,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40801
21357,LEGO® Ideas 21357 Disney Pixar Luxo Jr. NEU!,54.0,51.3,51.3,123,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21357
10360,LEGO® Icons 10360 Spaceshuttle-Transport-Jumbo EXKLUSIV!,210.0,,210.0,122,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10360
40921,LEGO® 40921 Große Minifigur Blauer Astronaut EXKLUSIV!,59.99,58.19,58.19,110,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40921
21271,LEGO® Minecraft 21271 Prüfungskammern NEU OVP EXKLUSIV!,41.99,40.31,40.31,107,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21271
43021,LEGO® 43021 Nike Dunk Trickshot EXKLUSIV!,49.99,46.49,46.49,105,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=43021
77252,LEGO® Speed Champions 77252 APXGP Team Race Car F1 Der Film,29.99,28.79,28.79,100,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77252
40820,40820 Große Weihnachtsmann-Minifigur,79.0,75.84,75.84,97,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40820
75406,LEGO® Star Wars 75406 Kylo Rens Kommandoshuttle NEU OVP,64.99,,64.99,96,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75406
71855,LEGO® Ninjago 71855 Showdown mit dem Ninja-Drachen Riyu,45.0,43.2,43.2,95,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71855
42175,LEGO® Technic 42175 Volvo FMX LKW mit EC230 Electric Raupenbagger,171.0,164.16,164.16,94,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=42175
77015,Indiana Jones 77015 Tempel des goldenen Götzen,160.0,153.6,153.6,93,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77015
21337,LEGO® Ideas 21337 Tischkicker NEU OVP EXKLUSIV!,229.99,226.99,226.99,92,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21337
60475,City 60475 Adventskalender 2025,34.99,32.19,32.19,91,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=60475
